5,2984GK,Hugo de Groothof,Ridderkerk
33,2985CE,De Genestetstraat,Ridderkerk
38,2988AK,Mauritsweg,Ridderkerk
53,2986BC,Merel,Ridderkerk
11,2985XA,Bilderdijklaan,Ridderkerk
15,2984BD,Wagenmakerstraat,Ridderkerk
14,2986GA,Paltrokmolen,Ridderkerk
41,2983SL,Prins Bernhardstraat,Ridderkerk
51,2986GA,Paltrokmolen,Ridderkerk
15,2986AJ,Oosterparkweg,Ridderkerk
23,2983RA,Nassaustraat,Ridderkerk
34,2985XB,Bilderdijklaan,Ridderkerk
58,2985XB,Bilderdijklaan,Ridderkerk
26,2985XB,Bilderdijklaan,Ridderkerk
