1115TA,333,,Lunaweg,Duivendrecht
1115TA,334,,Lunaweg,Duivendrecht
1115TA,335,,Lunaweg,Duivendrecht
1115TA,336,,Lunaweg,Duivendrecht
1115TA,400,,Lunaweg,Duivendrecht
1115TA,401,,Lunaweg,Duivendrecht
1115TA,402,,Lunaweg,Duivendrecht
1115TA,403,,Lunaweg,Duivendrecht
1115TA,404,,Lunaweg,Duivendrecht
1115TA,405,,Lunaweg,Duivendrecht
1115TA,406,,Lunaweg,Duivendrecht
1115TA,407,,Lunaweg,Duivendrecht
1115TA,408,,Lunaweg,Duivendrecht
1115TA,409,,Lunaweg,Duivendrecht
1115TA,410,,Lunaweg,Duivendrecht
1115TA,411,,Lunaweg,Duivendrecht
1115TA,412,,Lunaweg,Duivendrecht
1115TA,413,,Lunaweg,Duivendrecht
1115TA,414,,Lunaweg,Duivendrecht
1115TA,415,,Lunaweg,Duivendrecht
1115TA,416,,Lunaweg,Duivendrecht
1115TA,417,,Lunaweg,Duivendrecht
1115TA,418,,Lunaweg,Duivendrecht
1115TA,419,,Lunaweg,Duivendrecht
1115TA,420,,Lunaweg,Duivendrecht
1115TA,421,,Lunaweg,Duivendrecht
1115TA,422,,Lunaweg,Duivendrecht
1115TA,423,,Lunaweg,Duivendrecht
1115TA,424,,Lunaweg,Duivendrecht
1115TA,425,,Lunaweg,Duivendrecht
1115TA,426,,Lunaweg,Duivendrecht
1115TA,427,,Lunaweg,Duivendrecht
1115CX,71,,Dorpsplein,Duivendrecht
1191CX,14,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,16,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,18,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,20,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,22,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,24,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,26,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,28,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,30,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,32,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,34,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,36,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,38,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,40,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,42,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,44,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,46,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,48,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,50,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,52,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,54,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,56,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,58,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,60,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1191CX,62,,Burgemeester Stramanweg,Ouderkerk aan de Amstel
1114AB,903,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,905,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,907,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,909,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,913,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,915,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,911,,Joop Geesinkweg,Amsterdam-Duivendrecht
1191JN,50,,Ambachtenstraat,Ouderkerk aan de Amstel
1191JN,52,,Ambachtenstraat,Ouderkerk aan de Amstel
1191BH,37,,Dorpsstraat,Ouderkerk aan de Amstel
1191BH,39,,Dorpsstraat,Ouderkerk aan de Amstel
1191BH,41,,Dorpsstraat,Ouderkerk aan de Amstel
1191BH,43,,Dorpsstraat,Ouderkerk aan de Amstel
1191BH,45,,Dorpsstraat,Ouderkerk aan de Amstel
1191BH,47,,Dorpsstraat,Ouderkerk aan de Amstel
1191BH,49,,Dorpsstraat,Ouderkerk aan de Amstel
1191BH,51,,Dorpsstraat,Ouderkerk aan de Amstel
1446EN,119,,Papaverstraat,Purmerend
1446EP,12,,Papaverstraat,Purmerend
1446EN,121,,Papaverstraat,Purmerend
1446EN,123,,Papaverstraat,Purmerend
1446EN,125,,Papaverstraat,Purmerend
1446EN,127,,Papaverstraat,Purmerend
1446EL,13,,Papaverstraat,Purmerend
