2931EC,405,,De Markt,Krimpen aan de Lek
2931EC,407,,De Markt,Krimpen aan de Lek
2931EC,409,,De Markt,Krimpen aan de Lek
2931EC,411,,De Markt,Krimpen aan de Lek
2931EC,413,,De Markt,Krimpen aan de Lek
2931EC,415,,De Markt,Krimpen aan de Lek
2931XJ,4,,Joost van den Vondelstraat,Krimpen aan de Lek
2941RJ,55,,Weidelaan,Lekkerkerk
2931HW,15,,De Hoop,Krimpen aan de Lek
2931SL,77,,Noord,Krimpen aan de Lek
2931SJ,77,,Noord,Krimpen aan de Lek
2941RN,57,,Roggetiende,Lekkerkerk
2941RN,55,,Roggetiende,Lekkerkerk
2941RN,53,,Roggetiende,Lekkerkerk
2941BV,6,,Tiendweg-Oost,Lekkerkerk
2931SB,7,,Molendijk,Krimpen aan de Lek
2931AK,27,,Middelland,Krimpen aan de Lek
2931AK,29,,Middelland,Krimpen aan de Lek
2941BA,12,,Dammestraat,Lekkerkerk
2931SB,11,,Molendijk,Krimpen aan de Lek
2931LC,10,,Tiendweg,Krimpen aan de Lek
2941XH,11,,Koninginneweg,Lekkerkerk
2941BW,63,,Twijnstraweg,Lekkerkerk
2941BW,65,,Twijnstraweg,Lekkerkerk
2941BW,67,,Twijnstraweg,Lekkerkerk
2941BW,69,,Twijnstraweg,Lekkerkerk
2941BW,71,,Twijnstraweg,Lekkerkerk
2941BJ,111,,Kerkweg,Lekkerkerk
2931HW,13,,De Hoop,Krimpen aan de Lek
2941CE,13,,Luijtenstraat,Lekkerkerk
2941VE,60,,Lorentzweg,Lekkerkerk
2931TL,15,,Klaverstraat,Krimpen aan de Lek
2941XL,2,,Baandershof,Lekkerkerk
2941XL,4,,Baandershof,Lekkerkerk
2941XL,6,,Baandershof,Lekkerkerk
2941XL,8,,Baandershof,Lekkerkerk
2941XL,44,,Baandershof,Lekkerkerk
2941XL,46,,Baandershof,Lekkerkerk
2941XL,48,,Baandershof,Lekkerkerk
2941XL,50,,Baandershof,Lekkerkerk
