45,5802EN,Ouverturestraat,Venray
46,5802EN,Ouverturestraat,Venray
47,5802EN,Ouverturestraat,Venray
25,5802EM,Ouverturestraat,Venray
26,5802EM,Ouverturestraat,Venray
27,5802EM,Ouverturestraat,Venray
13,5802EL,Ouverturestraat,Venray
14,5802EL,Ouverturestraat,Venray
15,5802EL,Ouverturestraat,Venray
16,5802EL,Ouverturestraat,Venray
17,5802EL,Ouverturestraat,Venray
19,5802EM,Ouverturestraat,Venray
22,5802EM,Ouverturestraat,Venray
23,5802EM,Ouverturestraat,Venray
24,5802EM,Ouverturestraat,Venray
